year,edition,sport,total_events,total_athletes,total_medals
1896,1896 Summer Olympics,Artistic Gymnastics,8,28,41
1896,1896 Summer Olympics,Athletics,12,93,37
1896,1896 Summer Olympics,Cycling Road,1,23,3
1896,1896 Summer Olympics,Cycling Track,5,16,13
1896,1896 Summer Olympics,Fencing,3,22,9
1896,1896 Summer Olympics,Shooting,5,38,15
1896,1896 Summer Olympics,Swimming,4,54,10
1896,1896 Summer Olympics,Tennis,2,16,14
1896,1896 Summer Olympics,Weightlifting,2,7,6
1896,1896 Summer Olympics,Wrestling,1,5,3
1900,1900 Summer Olympics,Archery,12,30,20
1900,1900 Summer Olympics,Artistic Gymnastics,14,166,3
1900,1900 Summer Olympics,Athletics,53,276,76
1900,1900 Summer Olympics,Automobile Racing,2,26,0
1900,1900 Summer Olympics,Ballooning,26,64,0
1900,1900 Summer Olympics,Basque pelota,2,10,2
1900,1900 Summer Olympics,Boules,2,12,0
1900,1900 Summer Olympics,Cricket,1,34,34
1900,1900 Summer Olympics,Croquet,4,10,8
1900,1900 Summer Olympics,Cycling Track,14,194,9
1900,1900 Summer Olympics,Equestrian Dressage,1,25,3
1900,1900 Summer Olympics,Equestrian Driving,1,29,3
1900,1900 Summer Olympics,Equestrian Jumping,3,29,9
1900,1900 Summer Olympics,Fencing,7,258,21
1900,1900 Summer Olympics,Firefighting,3,65,0
1900,1900 Summer Olympics,Fishing,1,12,0
1900,1900 Summer Olympics,Football,1,35,35
1900,1900 Summer Olympics,Golf,4,39,6
1900,1900 Summer Olympics,Lifesaving,6,10,0
1900,1900 Summer Olympics,Longue Paume,2,9,0
1900,1900 Summer Olympics,Military Exercise,9,113,0
1900,1900 Summer Olympics,Motorboating,8,21,0
1900,1900 Summer Olympics,Motorcycle Sports,1,23,0
1900,1900 Summer Olympics,Polo,1,34,21
1900,1900 Summer Olympics,Rowing,12,217,68
1900,1900 Summer Olympics,Rugby,1,47,47
1900,1900 Summer Olympics,Sailing,8,97,105
1900,1900 Summer Olympics,Shooting,8,72,49
1900,1900 Summer Olympics,Swimming,7,138,33
1900,1900 Summer Olympics,Tennis,10,69,32
1900,1900 Summer Olympics,Tug-Of-War,1,12,18
1900,1900 Summer Olympics,Water Polo,1,53,32
1904,1904 Summer Olympics,American Football,1,173,0
1904,1904 Summer Olympics,Archery,8,29,28
1904,1904 Summer Olympics,Artistic Gymnastics,12,134,51
1904,1904 Summer Olympics,Athletics,71,480,79
1904,1904 Summer Olympics,Basketball,1,40,0
1904,1904 Summer Olympics,Boxing,7,23,18
1904,1904 Summer Olympics,Cycling Track,20,36,21
1904,1904 Summer Olympics,Diving,1,5,3
1904,1904 Summer Olympics,Fencing,6,11,21
1904,1904 Summer Olympics,Football,1,37,37
1904,1904 Summer Olympics,Golf,4,109,34
1904,1904 Summer Olympics,Lacrosse,1,36,36
1904,1904 Summer Olympics,Roque,1,4,3
1904,1904 Summer Olympics,Rowing,11,96,55
1904,1904 Summer Olympics,Swimming,15,46,39
1904,1904 Summer Olympics,Tennis,3,54,12
1904,1904 Summer Olympics,Tug-Of-War,1,30,15
1904,1904 Summer Olympics,Water Polo,1,21,21
1904,1904 Summer Olympics,Weightlifting,2,5,6
1904,1904 Summer Olympics,Wrestling,7,42,21
1906,1906  Intercalated Games,Athletics,12,8,0
1906,1906  Intercalated Games,Shooting,1,1,0
1908,1908 Summer Olympics,Archery,3,57,9
1908,1908 Summer Olympics,Artistic Gymnastics,2,326,97
1908,1908 Summer Olympics,Athletics,26,602,101
1908,1908 Summer Olympics,Bicycle Polo,1,9,0
1908,1908 Summer Olympics,Boxing,5,58,15
1908,1908 Summer Olympics,Cycling Track,6,97,30
1908,1908 Summer Olympics,Diving,2,39,7
1908,1908 Summer Olympics,Fencing,5,155,41
1908,1908 Summer Olympics,Figure Skating,4,23,15
1908,1908 Summer Olympics,Football,1,134,80
1908,1908 Summer Olympics,Glíma,1,5,0
1908,1908 Summer Olympics,Hockey,1,82,47
1908,1908 Summer Olympics,Jeu De Paume,1,11,3
1908,1908 Summer Olympics,Lacrosse,1,27,27
1908,1908 Summer Olympics,Motorboating,3,14,7
1908,1908 Summer Olympics,Polo,1,12,12
1908,1908 Summer Olympics,Racquets,2,10,10
1908,1908 Summer Olympics,Rowing,4,99,85
1908,1908 Summer Olympics,Rugby,1,48,48
1908,1908 Summer Olympics,Sailing,4,64,48
1908,1908 Summer Olympics,Shooting,15,221,117
1908,1908 Summer Olympics,Swimming,6,135,27
1908,1908 Summer Olympics,Tennis,6,69,24
1908,1908 Summer Olympics,Tug-Of-War,1,40,24
